GPSTime,X-ECEF,Y-ECEF,Z-ECEF,VX-ECEF,VY-ECEF,VZ-ECEF
372660.600000,3509420.546429,779147.252047,5250975.024968,0.009188,-0.012376,-0.004054
372660.610000,3509420.546521,779147.251923,5250975.024926,0.009103,-0.012396,-0.004149
372660.620000,3509420.546612,779147.251799,5250975.024885,0.009173,-0.012441,-0.004163
372660.630000,3509420.546703,779147.251675,5250975.024843,0.009078,-0.012315,-0.004226
372660.640000,3509420.546794,779147.251551,5250975.024801,0.009000,-0.012393,-0.004255
372660.650000,3509420.546884,779147.251428,5250975.024759,0.009080,-0.012390,-0.004143
372660.660000,3509420.546975,779147.251304,5250975.024717,0.009042,-0.012327,-0.004257
372660.670000,3509420.547065,779147.251181,5250975.024674,0.009012,-0.012310,-0.004251
372660.680000,3509420.547156,779147.251058,5250975.024632,0.009094,-0.012332,-0.004220
372660.690000,3509420.547246,779147.250934,5250975.024589,0.009063,-0.012377,-0.004261
372660.700000,3509420.547337,779147.250809,5250975.024547,0.009084,-0.012535,-0.004254
372660.710000,3509420.547428,779147.250684,5250975.024504,0.009155,-0.012538,-0.004276
372660.720000,3509420.547520,779147.250559,5250975.024461,0.009189,-0.012499,-0.004340
372660.730000,3509420.547612,779147.250433,5250975.024417,0.009152,-0.012614,-0.004413
372660.740000,3509420.547704,779147.250306,5250975.024373,0.009353,-0.012799,-0.004392
372660.750000,3509420.547797,779147.250178,5250975.024329,0.009205,-0.012755,-0.004470
372660.760000,3509420.547889,779147.250050,5250975.024284,0.009182,-0.012864,-0.004515
372660.770000,3509420.547982,779147.249922,5250975.024239,0.009348,-0.012896,-0.004510
372660.780000,3509420.548075,779147.249792,5250975.024194,0.009351,-0.012963,-0.004483
372660.790000,3509420.548169,779147.249663,5250975.024149,0.009307,-0.012986,-0.004527
372660.800000,3509420.548262,779147.249532,5250975.024104,0.009449,-0.013105,-0.004466
372660.810000,3509420.548356,779147.249401,5250975.024058,0.009380,-0.013148,-0.004625
372660.820000,3509420.548450,779147.249270,5250975.024012,0.009395,-0.013087,-0.004566
372660.830000,3509420.548545,779147.249138,5250975.023967,0.009488,-0.013148,-0.004554
