GPSTime,X,Y,Z
372975.0,3509451.6375317457,778965.5678387946,5250828.753800765
372976.0,3509450.391141993,778965.8835144525,5250828.889182161
372977.0,3509449.184588658,778966.0973037346,5250829.522970531
372978.0,3509448.433638458,778966.4126344282,5250830.462465477
372979.0,3509447.6453355514,778966.6533016799,5250831.768464481
372980.0,3509447.818567725,778967.0651138602,5250832.984985509
372981.0,3509446.653477122,778967.4700488532,5250834.528680953
372982.0,3509445.94791056,778967.8031004955,5250836.006874057
372983.0,3509445.8564790674,778968.581223383,5250837.813169246
372984.0,3509444.6457124827,778968.9005164215,5250839.094768285
372985.0,3509443.8668443444,778969.2236392773,5250840.763363705
372986.0,3509442.764017518,778969.611146893,5250842.093586354
372987.0,3509441.7249668096,778970.1551239388,5250844.158572706
372988.0,3509441.715337085,778970.3649252707,5250845.540252653
372989.0,3509440.949651285,778971.0990225492,5250847.686212406
372990.0,3509439.6676241085,778971.4214218061,5250849.23787654
372991.0,3509438.3100147797,778971.7385355617,5250850.50524109
372992.0,3509437.540770101,778972.0942221136,5250851.871627972
372993.0,3509436.8573852554,778972.4433999704,5250853.037465998
372994.0,3509435.866459951,778972.4512670963,5250853.679048488
372995.0,3509435.2360520423,778972.605822867,5250855.008341915
372996.0,3509434.933809463,778971.9398167566,5250856.2973337835
372997.0,3509434.7471577157,778970.8892837437,5250857.12170643
372998.0,3509434.603543954,778970.1320657036,5250858.692816738
372999.0,3509434.81711095,778969.2499179891,5250859.774302892
373000.0,3509435.2206343194,778968.0446349087,5250860.738537243
373001.0,3509435.407960183,778966.7028346861,5250861.397719418
373002.0,3509435.3832303276,778965.7664326009,5250862.181097894
373003.0,3509435.7084546345,778964.5453193532,5250862.99874493
373004.0,3509439.8114357595,778959.1653610067,5250859.408959161
373005.0,3509435.857984938,778962.6698794416,5250864.662586875
373006.0,3509435.9435888417,778961.7723981699,5250865.57700432
373007.0,3509436.416078309,778960.7759728555,5250866.779038702
373008.0,3509436.59526784,778959.6481912219,5250867.58699927
373009.0,3509436.825240919,778958.6473240155,5250868.896853397
373010.0,3509436.934648151,778957.6501642512,5250869.544643095
373011.0,3509437.2743922016,778956.5521416673,5250870.46507966
373012.0,3509437.3045372493,778955.5146887576,5250871.455503801
373013.0,3509437.3557128017,778955.6572397178,5250872.324234671
373014.0,3509437.597915216,778956.0838615618,5250873.221521678
373015.0,3509437.8394399546,778956.5093928227,5250873.838127777
373016.0,3509438.1394695756,778956.8267587179,5250874.53689966
373017.0,3509438.1649511564,778957.0849713157,5250875.335240287
373018.0,3509438.5776023497,778957.3600168584,5250876.436651752
373019.0,3509438.8437362937,778957.5463990177,5250877.14989985
373020.0,3509439.101423628,778957.6947496637,5250877.876879221
373021.0,3509439.2426819233,778957.8739586431,5250878.654720373
373022.0,3509439.5939927315,778958.1844738587,5250879.196229351
373023.0,3509439.9036907647,778958.3358407514,5250879.684466541
373024.0,3509440.0844557337,778958.6668946182,5250880.450974816
373025.0,3509440.384967619,778958.9551207277,5250881.115532297
373026.0,3509440.610152953,778959.2301316301,5250881.791866884
373027.0,3509440.8753939043,778959.4778717583,5250882.507747675
373028.0,3509441.1387363328,778959.5382240558,5250883.001279185
373029.0,3509441.387165139,778959.7766924009,5250883.577265655
373030.0,3509441.635881595,778959.9849968798,5250884.564824782
373031.0,3509441.802250304,778960.2401941518,5250885.319704767
373032.0,3509442.0333933546,778960.5767879343,5250885.904187296
373033.0,3509442.245452279,778960.8090032688,5250886.591698415
373034.0,3509442.3952357545,778960.9267834325,5250887.078659659
373035.0,3509442.6400659624,778961.2960327779,5250887.789413228
373036.0,3509442.8355790814,778961.3959538923,5250888.613288727
373037.0,3509443.174590356,778961.7112202074,5250889.273899166
373038.0,3509443.460086349,778961.9290886333,5250889.99231988
373039.0,3509443.7224785094,778962.0290845945,5250890.643812091
373040.0,3509443.8415817614,778962.2200231875,5250891.334223542
373041.0,3509443.9702925733,778962.4213588722,5250891.765216072
373042.0,3509444.346983595,778962.5892469933,5250892.784396461
373043.0,3509444.576147535,778962.9981347801,5250893.651369853
373044.0,3509444.926106837,778963.2718218106,5250894.398476042
373045.0,3509445.2531038844,778963.5508059581,5250895.253847844
373046.0,3509445.5419841018,778963.7529311031,5250896.176764474
373047.0,3509445.622876121,778964.1022051076,5250896.787684947
373048.0,3509445.8281472316,778964.277458975,5250897.379554162
373049.0,3509446.087977691,778964.2651094077,5250897.893349478
373050.0,3509446.230025571,778964.5168132659,5250898.430904376
373051.0,3509446.5621782783,778964.778051758,5250899.130681814
373052.0,3509446.8856674302,778964.9445540316,5250899.983608274
373053.0,3509447.155636861,778965.1195464795,5250900.660818029
373054.0,3509447.5145932566,778965.210274093,5250901.295228369
373055.0,3509447.8378435094,778965.0559689746,5250902.0074731335
373056.0,3509448.058028387,778965.3340853042,5250902.704738824
373057.0,3509448.3632063246,778965.6205512655,5250903.351398603
373058.0,3509448.550084827,778965.8939644906,5250904.164208139
373059.0,3509448.8080442697,778965.9133478854,5250904.685517455
373060.0,3509448.9039760423,778966.281329631,5250905.66899387
373061.0,3509449.0810498763,778966.4088024416,5250906.344531816
373062.0,3509449.226807714,778966.5528691389,5250906.825844641
373063.0,3509449.5958468565,778966.7718009463,5250907.347709236
373064.0,3509449.7892735526,778966.9748103338,5250907.863594321
373065.0,3509450.0909174713,778967.1452853305,5250908.620999433
373066.0,3509450.3032388245,778967.4611449353,5250909.441139252
373067.0,3509450.6164342966,778967.7739873398,5250910.196502578
373068.0,3509450.7489843196,778968.1564797878,5250911.166993286
373069.0,3509450.843992414,778968.5791384216,5250911.656814069
373070.0,3509450.9388137655,778968.9067761048,5250912.3427965185
373071.0,3509451.234042167,778969.2282169071,5250913.192887989
373072.0,3509451.452401941,778969.3701277925,5250913.7403898975
373073.0,3509451.7285175896,778969.5184995525,5250914.204193588
373074.0,3509452.111291476,778969.6543023556,5250914.797549547
373075.0,3509452.3273909325,778969.7728526893,5250915.650893985
373076.0,3509452.6409558244,778969.9311796329,5250916.279045448
373077.0,3509452.918864359,778970.1460847151,5250916.930359009
373078.0,3509453.1663226206,778970.6868229561,5250917.855610528
373079.0,3509453.3754071738,778970.9819600777,5250918.742323666
373080.0,3509453.5229914277,778971.2868099947,5250919.475581997
373081.0,3509453.667551814,778971.6037697187,5250920.426854692
373082.0,3509453.897747238,778971.8505881449,5250921.1780953305
373083.0,3509454.0541932387,778972.0707906026,5250921.597206789
373084.0,3509454.30027759,778972.2348126234,5250922.327824259
373085.0,3509454.542164681,778972.5612566965,5250923.397644675
373086.0,3509454.671270716,778972.7766457438,5250924.124433264
373087.0,3509454.9275457435,778972.9928331696,5250924.604940695
373088.0,3509455.3102696403,778973.3655514984,5250925.456698103
373089.0,3509455.3810195276,778973.3644541699,5250926.578437234
